"Ruminiclostridium sufflavum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminiclostridium","Ruminiclostridium sufflavum","strain"
"Ruminococcoides bili","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcoides","Ruminococcoides bili","strain"
"Ruminococcus albus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus albus","strain"
"Ruminococcus albus 7 = DSM 20455","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus albus","Ruminococcus albus 7 = DSM 20455"
"Ruminococcus bromii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bromii","strain"
"Ruminococcus callidus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus callidus","strain"
"Ruminococcus champanellensis 18P13 = JCM 17042","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus champanellensis","Ruminococcus champanellensis 18P13 = JCM 17042"
"Ruminococcus flavefaciens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus flavefaciens","strain"
"Ruminococcus gauvreauii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus gauvreauii","strain"
"Rummeliibacillus stabekisii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus","Rummeliibacillus stabekisii","strain"
"Ruthenibacterium lactatiformans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium lactatiformans","strain"
"Saccharicrinis fermentans","Bacteria","FCB group","Bacteroidota","Bacteroidia","Marinilabiliales","Marinilabiliaceae","Saccharicrinis","Saccharicrinis fermentans","strain"
"Saccharofermentans acetigenes","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Saccharofermentans","Saccharofermentans acetigenes","strain"
"Salana multivorans","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Micrococcales","Beutenbergiaceae","Salana","Salana multivorans","strain"
"Salegentibacter salarius","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Salegentibacter","Salegentibacter salarius","strain"
"Salegentibacter salinarum","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Salegentibacter","Salegentibacter salinarum","strain"
"Salimesophilobacter vulgaris","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Salimesophilobacter","Salimesophilobacter vulgaris","strain"
"Salinirepens amamiensis","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Salinirepens","Salinirepens amamiensis","strain"
"Salirhabdus euzebyi","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Salirhabdus","Salirhabdus euzebyi","strain"
"Salmonella bongori","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella bongori","strain"
"Salmonella enterica subsp. arizonae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","strain"
"Salmonella enterica subsp. enterica","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","strain"
"Salmonella enterica subsp. enterica serovar Typhimurium","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","strain"
"Salmonella enterica subsp. houtenae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","strain"
"Salmonella enterica subsp. salamae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","strain"
"Samsonia erythrinae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Samsonia","Samsonia erythrinae","strain"
"Sarcina maxima","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Sarcina","Sarcina maxima","strain"
"Sarcina ventriculi","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Sarcina","Sarcina ventriculi","strain"
"Schaalia cardiffensis","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia cardiffensis","strain"
"Schaalia hyovaginalis","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia hyovaginalis","strain"
"Schaalia odontolytica","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica","strain"
"Schaalia suimastitidis","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia suimastitidis","strain"
"Schaalia vaccimaxillae","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia vaccimaxillae","strain"
"Schinkia oryziterrae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Calidifontibacillus","Calidifontibacillus oryziterrae","strain"
"Schleiferilactobacillus kimchicus JCM 15530","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Secundilactobacillus","Secundilactobacillus kimchicus","Secundilactobacillus kimchicus JCM 15530"
"Schwartzia succinivorans","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Schwartzia","Schwartzia succinivorans","strain"
"Secundilactobacillus malefermentans","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Secundilactobacillus","Secundilactobacillus malefermentans","strain"
"Secundilactobacillus paracollinoides","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Secundilactobacillus","Secundilactobacillus paracollinoides","strain"
"Secundilactobacillus silagincola","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Secundilactobacillus","Secundilactobacillus silagincola","strain"
"Sedimentibacter acidaminivorans","Bacteria","Terrabacteria group","Bacillota","Tissierellia","order","family","Sedimentibacter","Sedimentibacter acidaminivorans","strain"
"Sedimentibacter hongkongensis","Bacteria","Terrabacteria group","Bacillota","Tissierellia","order","family","Sedimentibacter","Sedimentibacter hongkongensis","strain"
"Sedimentibacter hydroxybenzoicus","Bacteria","Terrabacteria group","Bacillota","Tissierellia","order","family","Sedimentibacter","Sedimentibacter hydroxybenzoicus","strain"
"Sedimentibacter saalensis","Bacteria","Terrabacteria group","Bacillota","Tissierellia","order","family","Sedimentibacter","Sedimentibacter saalensis","strain"
"Selenomonas artemidis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas artemidis","strain"
"Selenomonas bovis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas bovis","strain"
"Selenomonas dianae","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas dianae","strain"
"Selenomonas flueggei","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas flueggei","strain"
"Selenomonas flueggei ATCC 43531","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas flueggei","Selenomonas flueggei ATCC 43531"
"Selenomonas infelix","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas infelix","strain"
"Selenomonas lacticifex","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas lacticifex","strain"
"Selenomonas noxia","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas noxia","strain"
"Selenomonas ruminantium","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas ruminantium","strain"
"Selenomonas ruminantium subsp. lactilytica","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas ruminantium","strain"
"Selenomonas sputigena ATCC 35185","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas sputigena","Selenomonas sputigena ATCC 35185"
"Sellimonas intestinalis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Sellimonas","Sellimonas intestinalis","strain"
"Serinibacter salmoneus","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Micrococcales","Beutenbergiaceae","Serinibacter","Serinibacter salmoneus","strain"
"Serratia entomophila","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia entomophila","strain"
"Serratia ficaria","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia ficaria","strain"
"Serratia fonticola","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia fonticola","strain"
"Serratia fonticola DSM 22080","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia fonticola","Serratia fonticola DSM 22080"
"Serratia grimesii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia grimesii","strain"
"Serratia liquefaciens","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia liquefaciens","strain"
"Serratia marcescens","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia marcescens","strain"
"Serratia marcescens subsp. marcescens ATCC 13880","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia marcescens","Serratia marcescens subsp. marcescens ATCC 13880"
"Serratia microhaemolytica","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia microhaemolytica","strain"
"Serratia nematodiphila DZ0503SBS1","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia nematodiphila","Serratia nematodiphila DZ0503SBS1"
"Serratia odorifera","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia odorifera","strain"
"Serratia odorifera DSM 4582","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia odorifera","Serratia odorifera DSM 4582"
"Serratia oryzae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia oryzae","strain"
"Serratia plymuthica","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia plymuthica","strain"
"Serratia quinivorans","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia quinivorans","strain"
"Serratia rubidaea","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia rubidaea","strain"
"Serratia surfactantfaciens","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia surfactantfaciens","strain"
"Serratia ureilytica","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia ureilytica","strain"
"Shigella boydii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella boydii","strain"
"Shigella dysenteriae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella dysenteriae","strain"
"Shimwellia blattae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shimwellia","Shimwellia blattae","strain"
"Shimwellia blattae DSM 4481 = NBRC 105725","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shimwellia","Shimwellia blattae","Shimwellia blattae DSM 4481 = NBRC 105725"
"Shimwellia pseudoproteus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shimwellia","Shimwellia pseudoproteus","strain"
"Shuttleworthia satelles DSM 14600","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Shuttleworthia","Shuttleworthia satelles","Shuttleworthia satelles DSM 14600"
"Siccibacter colletis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Siccibacter","Siccibacter colletis","strain"
"Siccibacter turicensis LMG 23730","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Siccibacter","Siccibacter turicensis","Siccibacter turicensis LMG 23730"
"Sinanaerobacter chloroacetimidivorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Sinanaerobacter","Sinanaerobacter chloroacetimidivorans","strain"
"Sodaleptolyngbya stromatolitii","Bacteria","Terrabacteria group","Cyanobacteriota","Cyanophyceae","Synechococcales","family","Sodaleptolyngbya","Sodaleptolyngbya stromatolitii","strain"
"Soehngenia saccharolytica","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Tissierellaceae","Soehngenia","Soehngenia saccharolytica","strain"
"Solibaculum mannosilyticum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Solibaculum","Solibaculum mannosilyticum","strain"
"Solitalea koreensis","Bacteria","FCB group","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Solitalea","Solitalea koreensis","strain"
"Solobacterium moorei","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Solobacterium","Solobacterium moorei","strain"
"son-killer infecting Nasonia vitripennis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Arsenophonus","Arsenophonus nasoniae","strain"
"Sphaerochaeta associata","Bacteria","clade","Spirochaetota","Spirochaetia","Spirochaetales","Sphaerochaetaceae","Sphaerochaeta","Sphaerochaeta associata","strain"
"Sphingobacterium cibi","Bacteria","FCB group","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium cibi","strain"
"Sphingobacterium faecium","Bacteria","FCB group","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium faecium","strain"
"Sphingomonas rubra","Bacteria","clade","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas rubra","strain"
"Sphingomonas yunnanensis","Bacteria","clade","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas yunnanensis","strain"
"Spiroplasma chinense","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma chinense","strain"
"Spiroplasma citri","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma citri","strain"
"Spiroplasma culicicola AES-1","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma culicicola","Spiroplasma culicicola AES-1"
"Spiroplasma diminutum CUAS-1","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma diminutum","Spiroplasma diminutum CUAS-1"
"Spiroplasma eriocheiris CCTCC M 207170","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma eriocheiris","Spiroplasma eriocheiris CCTCC M 207170"
"Spiroplasma helicoides","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma helicoides","strain"
"Spiroplasma mirum","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma mirum","strain"
"Spiroplasma phoeniceum P40","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma phoeniceum","Spiroplasma phoeniceum P40"
"Spiroplasma velocicrescens","Bacteria","Terrabacteria group","Mycoplasmatota","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma velocicrescens","strain"
"Sporacetigenium mesophilum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Sporacetigenium","Sporacetigenium mesophilum","strain"
"Sporobacter termitidis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Sporobacter","Sporobacter termitidis","strain"
"Sporobacterium olearium","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Sporobacterium","Sporobacterium olearium","strain"
"Sporomusa acidovorans","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa acidovorans","strain"
"Sporomusa aerivorans","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa aerivorans","strain"
"Sporomusa intestinalis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa intestinalis","strain"
"Sporomusa malonica","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa malonica","strain"
"Sporomusa ovata","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa ovata","strain"
"Sporomusa paucivorans","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa paucivorans","strain"
"Sporomusa rhizae","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa rhizae","strain"
"Sporomusa silvacetica","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa silvacetica","strain"
"Sporomusa sphaeroides DSM 2875","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa sphaeroides","Sporomusa sphaeroides DSM 2875"
"Sporomusa termitida","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","Sporomusa termitida","strain"
"Sporosalibacterium faouarense","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Thermohalobacteraceae","Sporosalibacterium","Sporosalibacterium faouarense","strain"
"Sporosalibacterium tautonense","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Thermohalobacteraceae","Sporosalibacterium","Sporosalibacterium tautonense","strain"
"Staphylococcus aureus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","strain"
"Staphylococcus caprae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus caprae","strain"
"Staphylococcus epidermidis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis","strain"
"Staphylococcus hominis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis","strain"
"Staphylococcus hominis subsp. novobiosepticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis","strain"
"Staphylococcus pasteuri","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus pasteuri","strain"
"Staphylococcus saccharolyticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saccharolyticus","strain"
"Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saprophyticus","Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292"
"Staphylococcus warneri","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus warneri","strain"
"Stenotrophomonas maltophilia","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas maltophilia","strain"
"Stenotrophomonas pavanii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas pavanii","strain"
"Streptococcus azizii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus azizii","strain"
"Streptococcus dysgalactiae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus dysgalactiae","strain"
"Streptococcus mitis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mitis","strain"
"Streptococcus oralis subsp. dentisani","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus oralis","strain"
"Streptococcus pneumoniae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae","strain"
"Streptococcus saliviloxodontae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus saliviloxodontae","strain"
"Streptococcus thermophilus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus thermophilus","strain"
"Subdoligranulum variabile","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Subdoligranulum","Subdoligranulum variabile","strain"
"Succiniclasticum ruminis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Succiniclasticum","Succiniclasticum ruminis","strain"
"Succinispira mobilis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Succinispira","Succinispira mobilis","strain"
"Sutterella massiliensis","Bacteria","clade","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella massiliensis","strain"
"Sutterella parvirubra YIT 11816","Bacteria","clade","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella parvirubra","Sutterella parvirubra YIT 11816"
"Sutterella timonensis","Bacteria","clade","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella timonensis","strain"
"Syntrophococcus sucromutans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Syntrophococcus","Syntrophococcus sucromutans","strain"
"Taishania pollutisoli","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Taishania","Taishania pollutisoli","strain"
"Tatumella citrea","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella citrea","strain"
"Tatumella ptyseos ATCC 33301","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella ptyseos","Tatumella ptyseos ATCC 33301"
"Tatumella punctata","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella punctata","strain"
"Tatumella terrea","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Tatumella","Tatumella terrea","strain"
"Tenacibaculum geojense","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Tenacibaculum geojense","strain"
"Tepidibacillus decaturensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Tepidibacillus","Tepidibacillus decaturensis","strain"
"Tepidibacillus infernus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Tepidibacillus","Tepidibacillus infernus","strain"
"Tepidibacter formicigenes","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Tepidibacter","Tepidibacter formicigenes","strain"
"Tepidibacter mesophilus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Tepidibacter","Tepidibacter mesophilus","strain"
"Tepidibacter thalassicus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Tepidibacter","Tepidibacter thalassicus","strain"
"Tepidibaculum saccharolyticum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Tepidibaculum","Tepidibaculum saccharolyticum","strain"
"Tepidimicrobium xylanilyticum","Bacteria","Terrabacteria group","Bacillota","Tissierellia","Tissierellales","Tepidimicrobiaceae","Tepidimicrobium","Tepidimicrobium xylanilyticum","strain"
"Terribacillus saccharophilus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Terribacillus","Terribacillus saccharophilus","strain"
"Terriglobus aquaticus","Bacteria","clade","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terriglobus","Terriglobus aquaticus","strain"
"Terrisporobacter glycolicus ATCC 14880 = DSM 1288","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter glycolicus","Terrisporobacter glycolicus ATCC 14880 = DSM 1288"
"Terrisporobacter mayombei","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter mayombei","strain"
"Terrisporobacter petrolearius","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter petrolearius","strain"
"Tetragenococcus halophilus subsp. halophilus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus","Tetragenococcus halophilus","strain"
