"","Var1","barcode01","barcode02","barcode03","barcode04","barcode05","barcode06","barcode07","barcode08","barcode09","barcode10","barcode11","barcode12","barcode13","barcode14","barcode15","barcode16","barcode17","barcode18","barcode19","barcode20","barcode21","barcode22","barcode23","barcode24","unclassified"
"Rosenbergiella epipactidis","Rosenbergiella epipactidis",3,0,0,0,0,0,0,0,3,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0
"Rosenbergiella nectarea","Rosenbergiella nectarea",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rossellomorea marisflavi","Rossellomorea marisflavi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rouxiella chamberiensis","Rouxiella chamberiensis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
"Ruania alba","Ruania alba",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
"Rubellimicrobium rubrum","Rubellimicrobium rubrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832","Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832",0,1,0,1,0,0,0,0,0,0,5,4,2,19,0,0,0,1,0,13,1,0,35,0,1
"Ruminiclostridium cellobioparum subsp. termitidis","Ruminiclostridium cellobioparum subsp. termitidis",0,0,0,0,0,0,1,0,0,0,0,1,2,8,0,0,0,2,0,2,2,0,21,0,2
"Ruminiclostridium cellulolyticum","Ruminiclostridium cellulolyticum",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,50,0,1
"Ruminiclostridium cellulolyticum H10","Ruminiclostridium cellulolyticum H10",0,1,0,0,0,0,0,0,0,0,0,2,1,23,0,0,0,1,0,72,1,0,146,0,9
"Ruminiclostridium hungatei","Ruminiclostridium hungatei",0,4,0,1,2,0,1,1,0,0,1,2,6,54,1,0,0,8,0,99,3,0,43,1,4
"Ruminiclostridium josui","Ruminiclostridium josui",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,277,0,0,60,1,10
"Ruminiclostridium papyrosolvens DSM 2782","Ruminiclostridium papyrosolvens DSM 2782",0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,3,0,3,4,0,56,4,1
"Ruminiclostridium sufflavum","Ruminiclostridium sufflavum",0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,5,0,0,23,1,5
"Ruminococcoides bili","Ruminococcoides bili",0,7,3,12,16,0,1,0,2,0,16,7,4,90,1,0,5,333,0,56,36,0,315,0,41
"Ruminococcus albus","Ruminococcus albus",0,5,1,3,2,0,11,10,4,0,39,40,73,21,12,1,0,98,0,44,0,0,42,0,11
"Ruminococcus albus 7 = DSM 20455","Ruminococcus albus 7 = DSM 20455",0,2,1,10,3,0,1,2,1,0,20,14,24,14,2,0,1,27,0,13,2,0,19,0,6
"Ruminococcus bromii","Ruminococcus bromii",0,0,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,3,0,2,0,0,4,0,3
"Ruminococcus callidus","Ruminococcus callidus",0,0,0,1,0,0,0,0,0,0,2,1,2,2,0,0,0,2,0,6,2,0,3,0,2
"Ruminococcus champanellensis 18P13 = JCM 17042","Ruminococcus champanellensis 18P13 = JCM 17042",0,5,1,12,0,0,0,0,1,0,129,11,24,96,1,0,0,21,0,5,12,1,745,0,34
"Ruminococcus flavefaciens","Ruminococcus flavefaciens",0,4,0,5,3,0,8,0,5,0,1,42,45,7,4,0,0,56,0,25,2,0,4,0,26
"Ruminococcus gauvreauii","Ruminococcus gauvreauii",4,83,4,6,22,0,31,2,5,0,60,13,223,36,2,1,38,9,9,19,29,3,258,1,63
"Rummeliibacillus stabekisii","Rummeliibacillus stabekisii",0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"Ruthenibacterium lactatiformans","Ruthenibacterium lactatiformans",3,11,25,23,8,0,19,9,11,0,18,131,143,2726,23,0,1,195,0,64,147,198,363,47,166
"Saccharibacillus endophyticus","Saccharibacillus endophyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Saccharibacillus kuerlensis","Saccharibacillus kuerlensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharibacillus sacchari","Saccharibacillus sacchari",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharicrinis carchari","Saccharicrinis carchari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"Saccharicrinis fermentans","Saccharicrinis fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1
"Saccharococcus thermophilus","Saccharococcus thermophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Saccharofermentans acetigenes","Saccharofermentans acetigenes",0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,31,5,0,32,13,0
"Salana multivorans","Salana multivorans",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Salegentibacter flavus","Salegentibacter flavus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Salegentibacter holothuriorum","Salegentibacter holothuriorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Salegentibacter mishustinae","Salegentibacter mishustinae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Salegentibacter salarius","Salegentibacter salarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"Salegentibacter salinarum","Salegentibacter salinarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,2
"Salicibibacter kimchii","Salicibibacter kimchii",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Salimesophilobacter vulgaris","Salimesophilobacter vulgaris",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,127,0,8
"Salinirepens amamiensis","Salinirepens amamiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Salinivirga cyanobacteriivorans","Salinivirga cyanobacteriivorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"Salirhabdus euzebyi","Salirhabdus euzebyi",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"Salisediminibacterium haloalkalitolerans","Salisediminibacterium haloalkalitolerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Salisediminibacterium locisalis","Salisediminibacterium locisalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Saliterribacillus persicus","Saliterribacillus persicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Salmonella bongori","Salmonella bongori",0,0,2,0,0,9,0,0,0,0,0,14,0,0,1,0,1,5,0,2,112,0,2,0,4
"Salmonella enterica subsp. arizonae","Salmonella enterica subsp. arizonae",5,0,9,0,0,16,0,0,0,0,0,30,0,0,5,0,5,9,0,4,1,1,0,0,4
"Salmonella enterica subsp. enterica","Salmonella enterica subsp. enterica",0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmonella enterica subsp. enterica serovar Typhimurium","Salmonella enterica subsp. enterica serovar Typhimurium",29,0,43,0,2,96,3,4,2,0,0,162,0,1,27,0,19,68,7,6,172,1,0,0,18
"Salmonella enterica subsp. houtenae","Salmonella enterica subsp. houtenae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,2
"Salmonella enterica subsp. indica","Salmonella enterica subsp. indica",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmonella enterica subsp. salamae","Salmonella enterica subsp. salamae",1,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1
"Salsuginimonas clara","Salsuginimonas clara",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samsonia erythrinae","Samsonia erythrinae",2,0,5,0,1,1,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
"Sarcina maxima","Sarcina maxima",4,0,5,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,2
"Sarcina ventriculi","Sarcina ventriculi",2,0,3,0,0,0,0,0,3,0,1,0,10,1,0,0,0,3,0,1,0,0,0,0,0
"Schaalia canis","Schaalia canis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Schaalia cardiffensis","Schaalia cardiffensis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Schaalia hyovaginalis","Schaalia hyovaginalis",0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,9,0,0,0,0,0,0,1
"Schaalia odontolytica","Schaalia odontolytica",0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,5,0,0,0,0,1
"Schaalia suimastitidis","Schaalia suimastitidis",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0
"Schaalia vaccimaxillae","Schaalia vaccimaxillae",0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"Schinkia azotoformans LMG 9581","Schinkia azotoformans LMG 9581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Schinkia oryziterrae","Schinkia oryziterrae",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"Schlegelella thermodepolymerans","Schlegelella thermodepolymerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Schleiferilactobacillus harbinensis","Schleiferilactobacillus harbinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Schleiferilactobacillus kimchicus JCM 15530","Schleiferilactobacillus kimchicus JCM 15530",0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schleiferilactobacillus odoratitofui DSM 19909 = JCM 15043","Schleiferilactobacillus odoratitofui DSM 19909 = JCM 15043",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schleiferilactobacillus silagei JCM 19001","Schleiferilactobacillus silagei JCM 19001",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schleiferilactobacillus similis DSM 23365 = JCM 2765","Schleiferilactobacillus similis DSM 23365 = JCM 2765",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schwartzia succinivorans","Schwartzia succinivorans",0,1,5,0,0,0,1,0,0,0,1,8,4,3,0,0,0,4,1,3,0,0,30,0,3
"Secundilactobacillus malefermentans","Secundilactobacillus malefermentans",0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secundilactobacillus paracollinoides","Secundilactobacillus paracollinoides",0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secundilactobacillus pentosiphilus","Secundilactobacillus pentosiphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Secundilactobacillus silagincola","Secundilactobacillus silagincola",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Sedimentibacter acidaminivorans","Sedimentibacter acidaminivorans",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,263,0,10
"Sedimentibacter hongkongensis","Sedimentibacter hongkongensis",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,5
"Sedimentibacter hydroxybenzoicus","Sedimentibacter hydroxybenzoicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61,0,4
"Sedimentibacter saalensis","Sedimentibacter saalensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2
"Seleniivibrio woodruffii","Seleniivibrio woodruffii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
"Selenomonas artemidis","Selenomonas artemidis",0,1,1,0,0,0,0,0,0,0,0,11,0,0,1,0,0,4,4,0,0,0,0,0,0
"Selenomonas bovis","Selenomonas bovis",0,7,10,0,15,0,4,2,0,0,27,338,18,28,25,0,19,162,67,22,0,0,677,0,64
"Selenomonas dianae","Selenomonas dianae",0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"Selenomonas flueggei","Selenomonas flueggei",0,0,1,0,0,0,0,0,0,0,0,36,0,0,2,0,0,11,10,0,0,0,4,0,4
"Selenomonas flueggei ATCC 43531","Selenomonas flueggei ATCC 43531",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Selenomonas infelix","Selenomonas infelix",0,1,7,0,0,0,0,0,0,0,1,4,4,0,0,0,0,1,1,0,0,0,5,0,0
"Selenomonas lacticifex","Selenomonas lacticifex",0,11,11,0,22,0,9,2,4,0,133,573,6,90,74,0,22,256,155,15,3,0,1256,0,101
"Selenomonas noxia","Selenomonas noxia",0,1,8,0,0,0,1,0,0,0,1,5,12,5,0,0,0,0,0,5,0,0,3,0,0
"Selenomonas ruminantium","Selenomonas ruminantium",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Selenomonas ruminantium subsp. lactilytica","Selenomonas ruminantium subsp. lactilytica",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Selenomonas sputigena ATCC 35185","Selenomonas sputigena ATCC 35185",0,7,26,2,5,0,5,1,1,0,6,31,34,4,4,0,3,7,4,13,0,0,44,0,11
"Sellimonas intestinalis","Sellimonas intestinalis",0,2,0,0,0,0,1,1,0,0,1,0,5,4,0,0,0,0,0,0,6,0,15,0,1
"Serinibacter salmoneus","Serinibacter salmoneus",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Serinibacter tropicus","Serinibacter tropicus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serinicoccus hydrothermalis","Serinicoccus hydrothermalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Serratia entomophila","Serratia entomophila",0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1
"Serratia ficaria","Serratia ficaria",1,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,1,1,0,0,0,0,0,0,0
"Serratia fonticola","Serratia fonticola",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Serratia fonticola DSM 22080","Serratia fonticola DSM 22080",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Serratia grimesii","Serratia grimesii",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"Serratia liquefaciens","Serratia liquefaciens",4,0,3,0,0,1,1,0,1,0,0,43,0,0,0,0,2,4,0,0,0,0,0,0,0
"Serratia marcescens","Serratia marcescens",0,0,3,1,0,1,0,1,0,0,4,19,2,0,0,0,3,10,2,0,0,0,0,0,3
"Serratia marcescens subsp. marcescens ATCC 13880","Serratia marcescens subsp. marcescens ATCC 13880",0,0,1,0,0,2,0,0,0,0,2,4,1,0,0,0,0,4,1,0,0,1,0,0,0
"Serratia microhaemolytica","Serratia microhaemolytica",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serratia nematodiphila DZ0503SBS1","Serratia nematodiphila DZ0503SBS1",0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,14,1,0,0,0,0,0,3
"Serratia odorifera","Serratia odorifera",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Serratia odorifera DSM 4582","Serratia odorifera DSM 4582",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serratia oryzae","Serratia oryzae",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Serratia plymuthica","Serratia plymuthica",2,0,2,0,0,0,1,0,1,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0
"Serratia proteamaculans","Serratia proteamaculans",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serratia quinivorans","Serratia quinivorans",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1
"Serratia rubidaea","Serratia rubidaea",1,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,1,28,0,0,0,0,0,0,4
"Serratia surfactantfaciens","Serratia surfactantfaciens",1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0
"Serratia symbiotica","Serratia symbiotica",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serratia ureilytica","Serratia ureilytica",2,0,1,0,1,3,0,0,3,0,0,5,0,0,0,0,1,1,0,0,0,1,0,0,0
"Shewanella decolorationis","Shewanella decolorationis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shewanella donghaensis","Shewanella donghaensis",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shewanella frigidimarina","Shewanella frigidimarina",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shewanella indica","Shewanella indica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shewanella intestini","Shewanella intestini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Shigella boydii","Shigella boydii",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,2,0,0,0,0
"Shigella dysenteriae","Shigella dysenteriae",1,0,0,0,0,3,0,0,0,0,0,9,0,0,1,0,0,2,0,0,0,0,0,0,0
"Shigella sonnei","Shigella sonnei",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shimwellia blattae","Shimwellia blattae",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Shimwellia blattae DSM 4481 = NBRC 105725","Shimwellia blattae DSM 4481 = NBRC 105725",7,0,5,0,0,14,0,1,0,0,0,40,0,1,5,2,5,16,1,1,0,0,0,0,1
"Shimwellia pseudoproteus","Shimwellia pseudoproteus",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shinella zoogloeoides","Shinella zoogloeoides",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shuttleworthia satelles DSM 14600","Shuttleworthia satelles DSM 14600",0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,8,0,0
"Siccationidurans ginsengisoli","Siccationidurans ginsengisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Siccibacter colletis","Siccibacter colletis",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
"Siccibacter turicensis","Siccibacter turicensis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siccibacter turicensis LMG 23730","Siccibacter turicensis LMG 23730",3,0,2,0,0,5,0,0,0,0,0,23,0,0,2,0,0,3,0,1,2,0,0,0,2
"Silvanigrella aquatica","Silvanigrella aquatica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Sinanaerobacter chloroacetimidivorans","Sinanaerobacter chloroacetimidivorans",2,104,210,213,362,0,453,29,323,0,997,462,2634,564,28,13,1,1826,0,0,1127,13,835,1,251
"Singulisphaera acidiphila DSM 18658","Singulisphaera acidiphila DSM 18658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Sinomicrobium pectinilyticum","Sinomicrobium pectinilyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sodaleptolyngbya stromatolitii","Sodaleptolyngbya stromatolitii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Soehngenia saccharolytica","Soehngenia saccharolytica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,2,0
"Solibacillus isronensis B3W22","Solibacillus isronensis B3W22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Solibaculum mannosilyticum","Solibaculum mannosilyticum",0,55,17,65,24,0,17,5,27,0,66,488,58,56,5,1,5,99,0,33,44,0,212,0,54
"Solitalea canadensis DSM 3403","Solitalea canadensis DSM 3403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Solitalea koreensis","Solitalea koreensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"Solobacterium moorei","Solobacterium moorei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,33,1
"son-killer infecting Nasonia vitripennis","son-killer infecting Nasonia vitripennis",1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerochaeta associata","Sphaerochaeta associata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
"Sphaerochaeta globosa","Sphaerochaeta globosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Sphingobacterium alkalisoli","Sphingobacterium alkalisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sphingobacterium cibi","Sphingobacterium cibi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,1
"Sphingobacterium cladoniae","Sphingobacterium cladoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sphingobacterium faecium","Sphingobacterium faecium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Sphingobacterium hotanense","Sphingobacterium hotanense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Sphingobacterium nematocida","Sphingobacterium nematocida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"Sphingobacterium populi","Sphingobacterium populi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"Sphingobacterium rhinocerotis","Sphingobacterium rhinocerotis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Sphingobacterium tabacisoli","Sphingobacterium tabacisoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sphingobium yanoikuyae","Sphingobium yanoikuyae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sphingomonas astaxanthinifaciens DSM 22298","Sphingomonas astaxanthinifaciens DSM 22298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Sphingomonas faeni","Sphingomonas faeni",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingomonas ginsenosidivorax","Sphingomonas ginsenosidivorax",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingomonas insulae","Sphingomonas insulae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingomonas limnosediminicola","Sphingomonas limnosediminicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Sphingomonas mesophila","Sphingomonas mesophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Sphingomonas mucosissima","Sphingomonas mucosissima",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingomonas rubra","Sphingomonas rubra",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Sphingomonas yunnanensis","Sphingomonas yunnanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Sphingopyxis solisilvae","Sphingopyxis solisilvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Spiroplasma apis","Spiroplasma apis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0
"Spiroplasma cantharicola","Spiroplasma cantharicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Spiroplasma chinense","Spiroplasma chinense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0
"Spiroplasma chrysopicola","Spiroplasma chrysopicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"Spiroplasma citri","Spiroplasma citri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
"Spiroplasma clarkii","Spiroplasma clarkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"Spiroplasma corruscae","Spiroplasma corruscae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Spiroplasma culicicola","Spiroplasma culicicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
"Spiroplasma culicicola AES-1","Spiroplasma culicicola AES-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
"Spiroplasma diminutum","Spiroplasma diminutum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
